id,snum,dnum,api00,api99,growth,meals,ell,yr_rnd,mobility,acs_k3,acs_46,not_hsg,hsg,some_col,col_grad,grad_sch,avg_ed,full,enroll,mealcat
199,1872,401,674,634,40,72.01,44,2.03,7,17,21,58,34,5,2,1,1.53,57,36,151
200,1729,401,589,511,78,82.01,43,2.02,20,18,25,43,30,15,10,2,1.97,73.01,18,245
201,1612,401,437,363,74,97.01,71,1,25,19,29,89.01,11,2.24,2.02,2.47,1.11,51,37,704
202,1621,401,717,667,50,72.01,29,4.25,20,18,29,33,36,12,17,2,2.2,90.01,10,236
203,1763,401,586,539,47,80.01,50,2.42,19,19,27,39,41,12,8,1,1.9,79.01,24,499
204,1854,401,470,444,26,98,45,4.49,17,19,29,28,56,12,3,1,1.94,50,31,703
205,1611,401,474,415,59,100,73.01,1,12,19,31,41,35,15,7,1,1.92,65,26,738
206,1778,401,699,660,39,67.01,35,2.17,21,19,27,6,12,20,46,16,3.54,70.01,17,665
207,1615,401,657,625,32,75.01,6,9.62,26,18,26,4,23,25,36,12,3.29,81.01,22,508
208,1795,401,759,725,34,33,18,3.08,19,14,29,2,39,18,34,7,3.05,94.01,13,355
209,2080,401,493,484,9,82.01,67,1,20,19,28,37,33,14,13,2,2.09,65.01,29,1570
210,1671,401,853,812,41,37,16,3.15,15,18,34,2,6,11,29,53,4.25,92.01,8,311
211,416,473,866,836,30,1,1,5.28,11,22,33,2.13,2,18,51,30,4.07,100,3,517
212,425,473,657,593,64,45,11,1.07,16,21,31,10,24,40,19,7,2.9,100,3,510
213,419,473,850,808,42,12,5,3.2,13,21,33,5,7,27,40,22,3.68,100.01,3,422
214,402,473,893,845,48,7,4,1.14,16,20,30,2.13,3,14,39,43,4.22,93.01,4,382
215,430,473,745,663,82,17,3,1.14,17,20,33,4,26,42,23,5,3,89.01,11,240
216,406,473,719,670,49,31,6,2.6,17,21,30,6,25,34,26,8,3.05,100.01,2.34,384
217,412,473,783,725,58,46,5,2.46,21,20,29,7,35,38,15,5,2.77,100,4,333
218,413,473,615,523,92,75.01,36,6.89,17,22,29,1.91,1.71,2.1,1.02,8.74,0,91.01,15,419
219,3070,491,479,443,36,91.01,82.01,2.34,14,20,28,55,21,16,6,2,1.79,94.01,6,396
220,3072,491,763,769,-6,15,19,2.11,18,19,0,7,18,36,27,11,3.17,100,2.34,187
221,3060,491,669,670,-1,48,40,1.64,19,18,28,20,17,33,20,10,2.83,91,13,235
222,3051,491,892,882,10,3,1,1.76,20,19,30,1.91,4,10,38,48,4.29,100,2.51,523
223,3055,491,590,587,3,66.01,52,2.13,10,19,0,30,23,26,15,6,2.46,87.01,13,198
224,194,507,514,527,-13,76.01,48,2.43,16,19,30,31,44,16,8,1,2.03,76,2,602
225,211,507,386,360,26,75,48,1,14,20,29,34,42,21,4,2.38,1.94,57,22,413
226,182,507,411,413,-2,81,45,6.88,22,19,28,12,57,22,8,1,2.3,64.01,29,494
227,167,507,774,757,17,69.01,51,2.59,7,19,26,19,30,24,20,8,2.67,95,2.36,255
228,203,507,844,827,17,11,2,2.27,6,19,29,4,25,24,31,16,3.29,100,6.82,179
229,187,507,498,480,18,77.01,30,2.42,19,20,30,31,32,31,5,1,2.13,78.01,11,322
230,201,507,624,558,66,59,16,2.24,13,18,29,20,31,31,12,5,2.5,100,6.89,191
231,210,507,432,430,2,90.01,29,8.7,17,19,29,11,32,19,35,4,2.88,58,25,595
232,184,507,435,445,-10,87.01,70,1,4,19,30,51,24,17,5,3,1.85,69,15,643
233,165,507,449,434,15,71,21,2.3,19,20,31,30,55,9,6,8.8,1.92,45,31,367
234,181,507,724,714,10,15,3,5.61,18,21,29,2,15,32,34,18,3.51,93,7,196
235,198,507,894,859,35,9,2,3.35,7,20,30,2.13,13,17,34,36,3.92,95,5,213
236,2240,541,599,541,58,76.01,12,2.02,20,19,24,2.12,2.11,2.04,1.03,2.15,0,61,44,198
237,2247,541,508,486,22,77.01,43,2.24,16,20,28,1.91,2.3,6.82,2.2,1.91,0,44,48,333
238,2267,570,897,888,9,11,1,2.15,13,22,31,1,28,23,39.01,8,3.25,75,25,547
239,2278,570,457,404,53,93.01,62,1,16,21,30,47,32,16,3,1,1.79,53,44,684
240,2282,570,582,553,29,64.01,25,1.7,20,21,31,19,30,28,17,6,2.61,86,14,312
241,4448,575,903,884,19,2,12,2.2,7,20,28,1,2,10,40,47,4.32,100,9.85,696
242,4435,575,863,839,24,5,10,9.02,12,18,33,2.14,4,16,40,40,4.16,100.01,7,393
243,4449,575,844,848,-4,3,13,2.44,15,19,28,2.14,3,21,41,34,4.05,100.01,2.03,462
244,4431,575,858,826,32,6,5,2.34,21,20,29,2.12,6,24,38,31,3.94,100,2,672
245,4427,575,802,784,18,21,11,2.1,11,18,32,8,9,35.01,29,20,3.43,100.02,2.36,541
246,4443,575,875,848,27,4,9,2.07,9,19,29,2.14,2,16,43,38,4.17,100,2.12,606
247,3698,600,720,643,77,55,9,2.3,19,18,26,10,68,18,5,2.12,2.17,100,4,332
248,3696,600,483,450,33,89.01,43,6.87,38,19,27,46,44,8,3,2.42,1.69,100.01,6.82,334
249,3715,600,696,636,60,50,11,9.84,23,19,30,6,64.01,23,6,1.25,2.32,100.01,2.15,495
250,3697,600,690,653,37,65,5,2.13,26,21,25,2,90.01,7,1,6.48,2.07,100,2.32,319
251,3700,600,717,665,52,77,11,2.24,29,19,27,28,42,24,6,2.17,2.08,100,6.88,351
252,3701,600,687,617,70,62,18,9.8,19,21,26,5,65.01,25,4,1,2.3,100,2.36,318
253,3518,605,623,564,59,60,23,2.11,16,19,27,25,31,28,14,3,2.4,94,16,384
254,3511,605,688,662,26,40,10,6.87,23,20,28,15,18,38,17,13,2.96,92.01,11,554
255,3520,605,643,575,68,63,29,1,19,19,27,24,20,28,10,17,2.76,87.01,23,573
256,3516,605,574,519,55,65,21,2.13,24,20,29,24,26,36.01,10,4,2.44,84.01,16,243
257,3525,605,632,568,64,51,18,1,19,19,31,21,27,33,12,7,2.57,91.01,15,555
258,3537,605,694,678,16,12,4,1,15,19,29,3,12,41,27,17,3.41,89.01,16,617
259,3519,605,532,525,7,62,36,2.49,19,19,34,39,29,22,6,3,2.06,87,23,541
260,3523,605,657,618,39,48,14,1.71,23,20,32,14,33,42,7,4,2.54,89.01,17,515
261,3535,605,705,673,32,20,6,2.12,15,19,30,7,19,38,18,19,3.24,96,11,490
262,3765,620,758,701,57,45,10,2.86,21,22,34,2.12,46,25,23,5,2.87,94.01,12,207
263,3736,620,556,542,14,61,46,2.8,39.01,22,25,22,26,30,20,3,2.57,96.01,15,657
264,3785,620,459,439,20,98,52,2.8,36,19,27,31,29,22,17,1,2.28,100.01,17,645
265,3741,620,573,516,57,100,51,2.8,31,20,32,37,31,15,16,2,2.14,100,6,434
266,3757,620,707,667,40,57,11,2.8,22,21,31,4,15,46,23,12,3.23,100.01,11,309
267,3751,620,592,533,59,100,22,2.8,35,20,30,2.14,85.01,11,2,2,2.22,100,13,222
268,3791,620,724,674,50,49,20,2.8,24,19,35,2.12,22,33,36,9,3.33,100,11,401
269,3772,620,829,824,5,22,7,2.8,14,19,33,10,26,21,30,13,3.09,100.01,2.46,329
270,3758,620,690,642,48,98.01,51,1.91,10,20,28,28,25,28,15,4,2.4,100.01,5,230
271,3794,620,610,540,70,100.01,47,1.76,31,20,23,75.01,15,2.15,1.85,10,1.55,100.01,18,170
272,3793,620,528,460,68,99.01,35,2.09,27,18,33,19,41,30,8,3,2.36,96.01,4,358
273,3759,620,585,556,29,54,11,6.82,27,25,37,8,31,22,29,10,3.02,100.01,8,133
274,3784,620,859,801,58,18,1,2.46,9,21,33,2.14,7,17,35,42,4.12,100.01,2.22,406
275,3754,620,732,672,60,63,8,2.07,37,19,30,16,36,24,22,2,2.59,100.01,9,292
276,3196,621,799,762,37,21,8,6.89,12,19,32,15,43,21,16,5,2.54,98,3,560
277,3203,621,845,799,46,14,4,2.28,12,19,30,6,25,27,35,9,3.16,97,6,410
278,3200,621,854,854,8.41,6,1,2.47,13,19,32,4,31,25,36,4,3.04,97.01,6.8,586
279,3184,621,790,758,32,26,15,2.34,17,19,32,16,27,23,29,6,2.82,95,7,539
280,3202,621,839,810,29,12,3,2.17,17,17,30,8,20,24,39,9,3.23,100,8,203
281,3187,621,689,682,7,51,36,2.15,13,19,32,31,25,16,23,5,2.47,90,10,519
282,3193,621,841,840,1,6,5,2.3,17,19,31,3,23,24,35,16,3.39,97,3,510
283,4132,627,493,471,22,94.01,41,1,33,20,32,53,27,15,4,1,1.71,73,29,590
284,4128,627,643,622,21,82.01,24,1,19,20,27,30,35,22,9,4,2.23,85.01,18,522
285,4131,627,698,686,12,62,29,1,15,20,32,19,33,22,19,7,2.62,98,2.15,583
286,4173,627,486,476,10,95,40,1,24,20,34,55,31,12,2,6.19,1.61,87,15,645
287,4167,627,612,551,61,75,26,6.8,16,20,32,28,24,34,11,3,2.38,100,5,277
288,4140,627,630,550,80,67.01,21,1,21,20,32,25,28,30,12,4,2.42,85,13,607
289,4145,627,525,519,6,78.01,18,1,25,20,31,23,32,30,10,4,2.4,86,14,439
290,4143,627,485,448,37,94.01,40,1,37,19,32,60,23,14,3,1,1.61,76,18,583
291,4136,627,474,437,37,92.01,34,1,28,20,31,48,31,17,3,1.42,1.77,81,19,470
292,4488,630,521,568,-47,97.01,77.01,2.25,14,19,0,61,18,15,4,1,1.68,79,4,210
293,4576,630,801,762,39,32,18,2.8,14,20,30,7,22,29,33,9,3.15,98,2.3,548
294,4506,630,709,619,90,59,17,2.46,20,16,33,10,25,36,20,9,2.94,100,2.43,135
295,4554,630,836,785,51,29,27,2.63,17,19,32,19,13,8,26,33,3.41,100,2.07,231
296,4518,630,769,723,46,47,6,2.12,13,19,25,7,18,36,20,19,3.25,96,4,295
297,4486,630,706,701,5,62,15,3.07,13,21,28,12,27,27,29,6,2.9,100,2,645
298,4537,630,655,614,41,78,27,1.75,16,19,32,21,26,32,16,7,2.62,100,2.17,438
299,4585,630,845,843,2,31,24,1.27,25,19,31,3,5,11,27,54,4.24,100,2.34,469
300,4573,630,789,747,42,41,27,1.05,16,20,30,12,26,25,32,5,2.92,100,2,575
301,4534,630,445,421,24,100,70,2.25,0,0,29,44,25,15,13,3,2.07,90,2.15,512
302,4581,630,708,691,17,74.01,2,8.7,24,19,30,1,55,31,10,4,2.61,98,2,603
303,4507,630,751,679,72,71.01,19,7.9,20,17,20,10,16,41,16,18,3.16,100,2.15,130
304,4522,630,461,441,20,100,74.01,8.78,22,19,31,55,31,10,3,1,1.65,85,3,726
305,4530,630,757,723,34,58,14,2.47,16,18,30,6,17,36,30,10,3.21,98,4,525
306,4583,630,865,837,28,40,8,2.02,17,19,30,4,17,27,29,23,3.51,100,2.07,344
307,4485,630,567,524,43,81,45,2.19,26,18,25,45,31,18,5,1,1.88,97,3,400
308,4558,630,748,684,64,62,21,4.63,11,18,29,11,20,39,21,9,2.98,95,5,253
309,4480,630,612,528,84,79,34,2.07,15,20,31,26,31,25,14,4,2.38,82,7,354
310,4533,630,500,463,37,95.01,69.01,3.72,24,19,26,45,29,12,8,5,1.99,97,6.82,350
311,4574,630,740,672,68,54,18,2.23,14,20,33,10,21,33,28,9,3.05,100,2.45,612
312,4580,630,740,712,28,66.01,2,9.85,19,19,29,2,27,44,23,4,3,100,2.32,543
313,4596,630,883,864,19,4,3,2.02,9,20,30,1,10,9,52,28,3.98,97,3,556
314,4514,630,799,789,10,38,10,2.45,14,19,30,5,18,29,26,21,3.4,100,6.13,378
315,4519,630,887,852,35,19,8,2.13,10,19,27,3,14,19,33,31,3.74,100,0,256
316,4502,630,493,489,4,91.01,71,2.41,27,19,30,70.01,19,8,3,1,1.46,87,7,410
317,4516,630,586,529,57,93,59,2.42,21,20,32,53,35,8,4,2.11,1.65,90,3,763
318,4511,630,626,626,9.15,79.01,36,2.03,11,19,33,24,29,28,14,6,2.49,92,8,159
319,4487,630,528,476,52,91,68,1,10,18,27,47,28,14,8,4,1.94,81,4,459
320,4528,630,741,700,41,44,18,2.49,17,20,33,5,21,41,22,11,3.13,100,2,353
321,4539,630,620,621,-1,71.01,23,3.53,14,20,31,12,33,24,22,9,2.84,41,59,216
322,4547,630,803,751,52,48,18,2.42,17,18,29,9,22,36,24,8,3,100,1.03,266
323,4731,632,655,635,20,56,28,1.99,13,18,32,9,26,34.01,20,12,3.02,82,14,267
324,4720,632,597,576,21,71.01,37,5.82,8,17,30,19,53,17,11,1,2.21,81.01,1.36,197
325,4783,632,789,730,59,20,11,2.02,4,19,25,2,7,17,37,37,3.99,76.01,10,237
326,4737,632,808,812,-4,61,26,2.02,7,21,32,8,33,23,32,4,2.93,81.01,11,329
327,4736,632,532,450,82,83,39,2.27,10,18,28,22,39,24,15,2.56,2.33,69.01,21,335
328,4714,632,503,504,-1,68.01,29,5.11,10,18,21,31,38,17,13,1,2.14,83.01,13,206
329,4781,632,655,638,17,53,12,8.16,7,20,23,9,74.01,11,4,1,2.14,94,1.71,187
330,4698,632,781,750,31,28,26,4.35,9,20,29,7,14,17,38,24,3.6,95.01,5,280
331,4775,632,808,806,2,14,5,2.07,3,19,29,1,7,12,35,45,4.15,87,10,448
332,4747,632,643,661,-18,72.01,13,2.34,12,19,27,9,36,35,16,4,2.68,94.01,6,229
333,4744,632,700,666,34,78.01,44,4.49,5,20,25,31,38,15,13,3,2.17,78,6,215
334,4729,632,558,496,62,82.01,41,3.24,8,19,20,47,37,7,6,3,1.8,90,2.43,189
335,4780,632,795,781,14,15,6,2.17,5,19,30,1.91,6,14,43,36,4.08,77.01,17,404
336,4774,632,682,641,41,35,22,9.62,2,19,27,4,9,14,45,28,3.84,80,5.4,222
337,4777,632,682,675,7,75.01,6,5.12,10,19,25,2.12,36,29,29,7,3.07,63,26,240
338,5387,635,892,861,31,2,3,4.58,13,19,31,1.53,3,10,46.01,40,4.23,78,5,602
339,5386,635,876,796,80,9,3,2.42,14,19,33,2,5,13,54,27,3.99,96.01,3.79,387
340,5370,635,790,753,37,17,10,8.47,17,18,28,5,17,28,38,11,3.33,96,4,350
341,5366,635,558,508,50,57,47,2.46,22,17,30,41,30,18,9,2,2.02,100,2.07,327
342,5358,635,575,578,-3,56,50,2.19,19,18,30,32,24,24,14,5,2.37,92.01,2.41,257
343,5388,635,686,658,28,28,23,2.42,13,18,31,6,15,33,27,18,3.36,95.01,5,281
344,5371,635,710,684,26,37,23,4.84,18,20,27,16,18,28,17,21,3.09,71.01,8,344
345,5362,635,487,454,33,62,47,2.03,21,18,27,28,44,14,13,1,2.14,86.01,9,310
346,3867,636,762,739,23,23,1,1.73,8,20,42,1,17,38,36,8,3.32,100.01,3.54,337
347,3848,636,801,794,7,27,1,2.3,19,20,45,1,24,33,30,11,3.26,95,5,317
348,3834,636,640,622,18,69,42,2.11,22,19,43,8,30,34,24,4,2.87,95,5,297
349,3833,636,601,499,102,100.01,24,4.49,31,20,33,30,31,25,13,1,2.26,85.01,10,269
350,3828,636,624,596,28,78.01,12,9.71,36,20,44,16,28,39,12,4,2.6,86.01,10,290
351,3839,636,863,848,15,14,1,2.17,18,20,46,2.78,9,24,39,28,3.85,100.01,2.25,355
352,3843,636,709,690,19,52,3,1.03,24,20,31,7,34,37,18,4,2.77,100.01,8.59,339
353,3854,636,883,851,32,20,1,6.91,24,21,40,1,14,28,35,22,3.64,96.01,4,394
354,3845,636,763,748,15,40,2,5.12,24,17,41,11,24,33,22,11,2.98,80.01,15,300
355,3850,636,727,655,72,40,1,3.15,29,18,39,10,35,25,23,8,2.85,100.01,2.07,146
356,3864,636,568,527,41,78.01,30,8.34,36,20,49,17,38,35,9,2,2.4,75.01,10,321
357,3853,636,743,726,17,48,2,8.29,27,20,42,6,28,38,21,7,2.95,92,8,367
358,3869,636,724,686,38,48,25,8.29,19,20,42,10,26,33,27,4,2.9,90.01,7,457
359,3826,636,831,842,-11,11,2,2.42,9,20,46,1,6,27,48,18,3.75,88.01,8,318
360,3824,636,876,850,26,23,1,6,21,23,34,3,11,28,29,30,3.71,95,5.18,399
361,3835,636,556,537,19,100.01,28,2.22,32,20,50,33,26,25,13,3,2.27,79.01,15,410
362,3865,636,847,837,10,9,1.12,1.18,8,20,35,1,15,25,38,21,3.62,95,5,312
363,3822,636,622,588,34,76.01,6,1.91,38,20,35,7,59,29,6,6.88,2.34,95,5,222
364,3129,653,531,502,29,82,74.01,1,13,22,28,43,37,16,3,1,1.8,83,17,602
365,3128,653,521,502,19,90.01,74.01,1,12,21,28,54,28,14,3,1,1.7,75.01,24,779
366,3127,653,473,437,36,95.01,86.01,1,15,21,30,83.01,8,8,2.34,6.82,1.25,71,29,590
367,3121,653,529,502,27,88.01,75,1,13,19,29,46.01,33,15,4,3,1.86,83.01,17,611
368,3145,653,806,815,-9,32,14,2.22,20,21,30,10,24,43,14,9,2.88,91.01,9,695
369,3133,653,744,677,67,58,35,2.15,13,20,31,22,26,32,10,10,2.6,88.01,12,688
370,3151,653,444,413,31,91,88.01,1,14,21,27,58,30,10,1,2.07,1.56,70,30,593
371,6068,689,714,672,42,45,21,2.11,13,18,28,50,50,2.28,1.45,2.15,1.5,96.01,1.41,368
372,6072,689,865,843,22,5,2.77,1.15,4,20,30,2.34,2.15,2.49,2.42,2.47,0,100,2.15,451
373,6057,689,641,616,25,45,17,4.97,13,20,32,50,6.89,2.34,50,2.43,2.5,100.01,2.15,657
374,6065,689,772,745,27,11,2,2.49,16,18,28,2.47,2.47,5,2.19,2.34,0,96.01,4.63,374
375,6062,689,750,730,20,21,4,2.46,15,19,31,2.02,2.46,8.5,2.21,6.82,0,100,1.92,397
376,6060,689,738,708,30,18,2,2.25,13,19,30,2.47,2.13,2.94,100,2.39,4,97.01,3,392
377,4879,716,529,482,47,83,28,2.91,16,18,23,31,23,29,14,4,2.37,80,13,352
378,4871,716,554,513,41,84.01,24,2.91,23,19,26,75.01,9,10,5,1,1.47,83,12,535
379,4875,716,504,451,53,90,46,1,19,20,26,33,17,20,20,10,2.57,83.01,17,657
380,4859,716,592,556,36,80.01,33,2.12,22,18,27,22,31,29,16,2,2.45,92.01,8,532
381,4877,716,627,582,45,86.01,35,1,16,20,25,41,26,22,8,2,2.03,80.01,9,612
382,4880,716,625,578,47,59,8,1,19,19,28,18,44,25,13,1,2.36,93.01,5,559
383,4881,716,436,415,21,100.01,49,2.13,19,19,24,40,20,13,28,6.82,2.28,80.01,17,363
384,4876,716,487,443,44,86,26,2.12,26,18,21,50.01,2.47,2.34,50,2.49,2.5,80.01,8,300
385,4868,716,610,520,90,84,34.01,2.78,27,20,27,27,39,15,18,1,2.27,82.01,12,331
386,4862,716,516,433,83,100.01,35,1,33,18,25,32,26,25,13,4,2.31,72,21,704
387,4878,716,465,440,25,90.01,27,2.25,21,21,26,13,25,40,17,4,2.73,74,15,466
388,5920,779,654,581,73,48,15,2.89,16,18,31,21,35,21,19,4,2.5,100.01,2.51,364
389,5917,779,735,672,63,42,4,2.65,16,19,29,8,42,24,20,7,2.75,100,2.83,360
390,5927,779,576,518,58,68.01,26,1,21,19,29,36.01,37,16,9,2,2.03,96,4,657
391,5926,779,469,483,-14,91.01,54,2.16,17,18,28,52,36,6,6,2.49,1.66,100,3,391
392,5933,779,515,468,47,91.01,28,1.76,32,17,26,40.01,45,11,4,2.43,1.79,88.01,12,218
393,469,796,543,527,16,82.01,25,2.11,23,20,27,27,46,16,9,1,2.12,80.01,6,400
394,468,796,783,758,25,31,6,0,15,19,27,7,38,22,23,10,2.89,96.01,8,317
395,482,796,745,736,9,27,12,6.32,11,18,28,5,29,23,37,7,3.12,95.01,5,266
396,489,796,720,678,42,34,8,7.92,20,19,24,8,34,26,26,6,2.88,85.01,7,461
397,504,796,802,787,15,26,10,2.65,21,19,33,3,27,21,37,12,3.29,91.01,5,360
398,488,796,539,424,115,98.01,12,2.63,18,20,24,10,75.01,13,1,2.58,2.06,93.01,7,301
399,479,796,512,447,65,98.01,34,1.76,31,19,32,31,48,11,9,1,2.01,83.01,6,269